"","sample","lang","cregion","state","sex","q1","q3","eminuse","intmob","bbhome3a","bbhome3b","bbhome3c","bbhome3d","bbhome3e","cable1","date3a","date3b","date4a","date4b","date4c","date4d","date4e","date4f","game1","game2a","game2b","game2c","game2d","game2e","game2f","game3a","game3b","age","marital","hh1","par","educ2","party","ideo","hisp","race","employed"
"335",1,1,3,37,1,3,2,2,2,3,3,3,3,1,1,1,2,1,1,2,1,1,2,1,2,2,NA,2,NA,NA,1,2,44,1,2,2,8,2,4,2,NA,1
"336",1,1,1,36,2,3,3,1,1,3,3,2,2,3,2,2,2,NA,2,2,2,NA,NA,1,2,2,NA,3,2,3,1,2,45,6,1,1,4,2,3,2,2,1
"338",1,1,3,51,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,NA,1,2,3,2,NA,NA,3,NA,NA,66,6,3,2,8,2,4,2,1,1
"339",1,1,3,12,2,3,4,1,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,NA,2,NA,2,2,1,31,2,2,1,4,3,3,2,1,0
"345",1,1,4,32,2,1,3,1,1,3,3,3,3,3,1,1,1,2,2,2,2,2,1,2,3,2,2,3,3,1,1,1,52,1,2,2,8,1,2,2,1,1
"347",1,1,3,45,2,1,1,1,1,3,1,1,3,2,1,1,1,1,2,2,2,1,2,2,2,3,1,NA,2,NA,1,2,30,6,3,2,8,2,3,2,1,1
"349",1,1,1,36,2,1,3,1,1,1,1,3,3,3,1,1,1,1,2,2,2,1,2,1,2,2,NA,3,NA,2,1,1,52,1,3,1,6,1,3,2,1,1
"351",1,1,4,6,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,2,2,2,1,1,NA,1,1,3,NA,3,1,1,55,1,2,1,6,1,3,2,1,1
"352",1,1,3,1,1,2,4,1,2,3,3,3,3,3,1,1,1,1,1,1,2,1,1,2,3,1,NA,3,NA,3,1,1,53,1,3,2,4,1,1,2,1,1
"356",1,1,4,4,1,2,2,1,2,2,1,2,2,2,1,1,NA,1,2,2,2,1,1,2,NA,NA,NA,NA,NA,3,2,1,66,1,2,2,6,2,3,2,1,1
"357",1,1,3,48,2,1,2,1,1,3,3,3,3,3,2,2,2,2,2,NA,NA,2,1,1,2,2,3,3,NA,3,1,NA,42,1,3,1,6,1,1,2,1,1
"359",1,1,2,27,2,1,3,1,1,2,3,1,2,3,1,1,1,1,2,2,2,2,1,1,2,2,1,1,1,2,1,2,18,6,4,2,3,1,3,2,1,1
"360",1,1,2,55,1,1,3,2,2,3,1,2,3,3,1,1,1,1,1,2,2,NA,2,2,NA,2,NA,NA,NA,3,1,1,54,5,1,2,2,3,3,2,1,1
"365",1,1,4,6,1,1,1,1,1,3,3,3,3,3,1,2,2,1,1,2,1,1,1,2,NA,2,NA,NA,NA,2,1,2,50,1,2,1,8,2,4,2,1,1
"367",1,1,4,6,2,1,2,1,1,3,3,3,3,3,1,2,1,1,2,2,2,1,2,1,2,2,2,NA,3,3,1,1,50,1,2,2,8,3,3,2,1,1
"368",1,1,4,41,2,2,2,1,1,3,3,3,3,3,2,2,2,2,2,2,1,2,1,2,NA,1,1,NA,NA,3,1,1,99,NA,NA,NA,NA,2,5,NA,NA,1
"369",1,1,1,36,1,2,3,1,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,2,1,2,2,2,2,2,1,2,22,6,3,2,6,2,3,2,2,1
"372",1,1,1,42,2,2,3,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,NA,2,2,NA,1,2,2,36,2,2,1,5,1,3,2,1,1
"373",1,1,1,36,1,1,3,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,3,3,1,2,61,1,4,1,4,2,5,1,1,1
"374",1,1,2,18,2,2,3,1,1,2,2,2,3,2,1,1,2,NA,NA,2,2,NA,1,2,3,1,2,3,NA,2,1,1,52,1,3,2,8,1,1,2,1,1
"377",1,1,1,36,2,1,1,1,1,3,1,3,3,3,1,1,1,2,2,1,1,2,1,1,3,2,1,3,1,3,1,NA,45,1,6,1,3,NA,3,1,6,1
"380",1,1,1,36,2,2,4,1,1,1,2,2,1,1,1,1,1,2,2,2,2,1,1,1,2,1,1,2,1,3,2,1,62,1,3,2,3,2,2,2,1,0
"381",1,1,3,51,2,2,2,1,1,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,1,1,30,1,2,1,8,3,3,2,1,0
"390",1,1,2,39,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,2,3,2,2,2,48,1,3,1,5,1,3,2,1,1
"392",1,1,1,50,1,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,2,3,3,2,3,1,1,2,20,6,4,2,3,2,3,2,1,1
"393",1,1,1,34,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1,2,1,2,1,2,62,2,4,2,8,2,4,2,1,1
"396",1,1,1,50,2,4,4,2,1,3,2,3,3,3,2,1,2,2,2,2,1,2,1,1,1,2,3,3,3,2,2,2,32,6,4,1,5,1,2,2,1,0
"397",1,1,2,19,2,1,1,1,2,3,3,2,3,2,1,2,2,1,1,2,2,1,1,2,NA,NA,NA,3,NA,NA,1,2,59,1,2,2,6,2,3,2,1,1
"398",1,1,2,26,2,2,3,1,1,3,2,3,3,3,1,2,2,2,1,2,2,2,1,1,2,2,NA,2,NA,2,1,2,50,1,3,1,4,3,1,2,1,0
"400",1,1,3,13,2,2,3,1,1,2,2,2,2,1,1,2,2,2,NA,NA,NA,NA,1,2,2,NA,3,NA,NA,2,NA,NA,30,3,1,2,6,NA,3,2,2,1
"401",1,1,1,9,1,1,1,1,1,3,2,2,3,2,1,2,2,1,2,2,1,1,2,1,2,2,1,1,NA,2,1,2,45,1,2,1,6,2,3,2,1,1
"403",1,2,1,9,2,2,3,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,2,3,1,2,2,1,30,1,2,1,2,NA,2,1,1,0
"404",1,1,2,18,2,1,2,1,1,2,2,2,3,3,1,1,1,NA,1,2,2,NA,2,2,2,2,NA,NA,NA,NA,1,1,63,1,2,2,6,3,2,2,1,1
"405",1,1,3,37,1,2,2,1,1,1,3,1,1,1,1,1,2,2,2,2,2,2,1,2,3,1,1,3,1,3,1,2,62,1,3,1,8,2,5,2,1,1
"406",1,1,1,36,2,2,3,2,1,3,3,3,3,3,1,2,2,2,2,2,NA,2,1,1,3,3,1,3,2,3,1,2,62,1,2,2,8,2,3,1,2,1
"408",1,2,4,4,1,1,4,1,1,1,3,1,1,1,1,2,2,1,1,1,1,1,1,2,3,1,2,2,1,NA,1,1,39,3,1,2,3,2,2,1,6,1
"410",1,1,3,47,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,NA,2,NA,NA,NA,3,1,2,54,6,1,2,6,3,3,2,1,0
"413",1,1,2,18,1,2,2,1,1,3,3,3,3,3,1,1,2,1,2,2,2,2,2,1,2,3,3,2,3,2,2,2,30,1,2,2,6,3,2,2,1,1
"414",1,1,4,53,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,2,1,1,2,3,1,3,1,1,2,26,6,3,2,4,3,4,2,1,1
"415",1,1,4,6,2,1,2,1,1,2,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,2,2,2,NA,2,2,1,35,1,2,1,4,NA,3,2,1,0
"417",1,1,2,39,2,2,3,1,1,2,1,2,3,1,1,2,2,1,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,1,1,61,1,3,2,5,2,4,2,1,1
"420",1,1,2,29,2,1,2,1,2,3,3,3,3,3,1,1,1,2,2,1,1,2,1,2,NA,1,NA,NA,NA,3,2,1,57,6,3,2,8,3,2,2,1,1
"421",1,1,1,36,1,3,3,1,1,1,1,1,1,2,1,1,1,1,NA,2,1,1,2,1,2,2,3,2,3,3,1,NA,60,4,1,1,7,NA,5,2,1,1
"422",1,1,2,29,1,1,1,1,1,3,3,3,3,3,2,2,2,1,NA,NA,NA,NA,2,1,2,1,3,NA,3,2,NA,2,37,1,2,1,3,3,3,2,1,1
"423",1,1,4,49,2,1,2,1,1,1,NA,1,1,1,1,2,1,2,1,2,1,1,1,1,3,1,NA,3,NA,3,1,1,73,1,2,2,3,1,2,2,1,0
"424",1,1,4,4,1,1,2,1,1,2,2,2,2,2,1,2,2,NA,NA,1,NA,NA,1,1,2,2,3,2,3,NA,1,2,35,1,2,1,6,2,5,1,6,1
"425",1,1,3,22,1,2,2,1,1,3,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,3,2,2,2,2,2,2,45,3,4,1,6,3,3,2,1,1
"426",1,1,2,17,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,3,2,NA,3,1,NA,43,1,3,2,8,2,3,2,2,1
"427",1,1,4,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,NA,3,NA,2,1,2,55,1,3,1,8,3,3,2,1,1
"428",1,1,4,6,1,3,3,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,NA,1,3,3,3,2,3,2,2,2,38,6,1,2,3,2,4,2,1,1
"431",1,1,4,6,1,2,3,1,1,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,NA,1,NA,NA,NA,3,1,NA,58,1,2,1,6,3,2,2,1,1
"432",1,1,4,6,2,3,3,1,1,1,1,1,1,2,2,1,1,1,NA,2,2,NA,2,2,2,2,2,2,2,2,2,1,44,4,1,1,7,2,5,2,1,1
"436",1,1,1,42,1,4,3,2,1,3,3,3,3,3,2,2,2,1,2,2,1,2,1,2,1,2,2,2,1,2,2,2,33,6,2,1,2,3,4,2,1,1
"437",1,1,1,42,2,1,3,1,1,2,1,2,2,2,1,1,2,1,2,2,1,1,1,2,NA,1,NA,3,NA,3,1,2,22,6,3,2,3,1,3,2,1,1
"439",1,1,3,37,2,2,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,3,NA,2,NA,3,2,1,57,1,2,2,8,3,3,2,1,1
"443",1,1,3,47,2,2,4,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,3,3,3,NA,1,3,2,1,49,3,1,1,3,1,5,2,2,0
"444",1,1,2,55,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,NA,2,NA,2,NA,2,1,1,22,4,3,1,4,3,NA,2,1,0
"447",1,1,1,25,2,2,2,1,1,2,1,2,2,2,1,1,1,2,2,1,1,2,1,2,2,2,2,NA,2,2,1,2,51,1,5,1,5,3,4,2,1,1
"448",1,1,2,17,2,1,2,1,1,3,1,3,1,1,1,2,2,2,2,2,1,2,1,2,2,2,NA,NA,3,NA,2,1,66,1,2,2,8,1,2,2,3,1
"449",1,1,3,54,1,3,3,2,1,2,3,1,1,3,1,2,2,2,2,1,2,1,2,1,2,3,2,2,3,1,1,2,20,6,2,2,3,3,5,2,1,0
"453",1,1,4,49,2,1,2,1,1,1,1,1,1,1,1,2,1,NA,NA,2,2,2,2,1,2,2,NA,NA,NA,2,1,2,53,1,3,2,4,NA,3,2,1,1
"454",1,1,3,37,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,36,1,2,1,4,3,2,2,1,1
"455",1,1,2,39,1,3,4,2,2,2,1,1,1,1,1,NA,NA,2,2,1,2,2,1,2,3,1,3,3,NA,NA,NA,2,55,6,1,2,3,NA,2,2,1,1
"458",1,1,1,33,1,2,2,1,1,3,3,3,2,3,1,1,1,1,1,2,2,1,2,2,2,2,NA,2,3,2,1,NA,50,1,2,1,4,3,2,1,1,1
"461",1,1,2,18,2,1,2,1,2,1,1,1,1,1,2,1,1,NA,NA,2,NA,1,NA,2,NA,1,NA,NA,NA,NA,1,NA,55,2,2,2,8,3,3,2,1,1
"463",1,1,1,36,1,3,4,1,1,3,3,3,3,3,1,2,2,2,2,2,2,2,1,1,2,2,2,2,NA,2,1,2,51,1,4,2,5,2,4,2,2,1
"464",1,1,4,41,2,2,2,1,2,1,1,1,1,1,2,1,2,1,2,2,2,NA,2,2,NA,2,2,NA,NA,NA,1,2,61,2,2,1,6,2,5,2,1,1
"465",1,1,4,53,2,1,2,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,2,1,2,2,2,2,2,NA,1,1,54,6,1,2,8,3,3,2,1,1
"466",1,1,3,12,2,2,3,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,3,1,NA,3,1,3,1,1,44,1,3,1,4,3,3,2,1,1
"468",1,1,2,26,2,3,3,1,2,3,2,3,3,3,1,2,2,2,2,2,2,1,1,2,2,3,3,3,3,2,2,2,54,1,2,2,3,2,2,2,4,1
"470",1,1,2,18,2,2,3,1,1,1,1,1,2,NA,1,1,1,1,1,2,1,1,1,1,2,2,NA,2,2,3,1,1,58,1,2,2,8,1,2,2,1,1
"472",1,1,1,36,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,2,3,2,2,2,2,1,2,63,3,2,2,8,2,5,2,1,1
"474",1,1,1,25,2,2,4,1,2,3,1,1,3,1,1,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,48,1,1,2,4,3,NA,2,1,1
"477",1,1,3,48,1,2,3,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,NA,2,3,2,2,46,1,3,2,4,3,4,2,2,1
"478",1,1,4,8,2,3,3,1,1,3,3,1,3,3,1,2,2,1,2,2,2,1,2,1,2,3,3,2,3,2,2,2,48,1,2,1,6,1,3,2,1,1
"481",1,1,3,40,2,1,3,1,1,1,NA,NA,2,NA,1,1,NA,2,2,2,2,2,1,2,NA,NA,NA,NA,NA,3,1,NA,61,1,3,1,5,NA,NA,2,3,1
"482",1,1,4,6,2,3,2,1,1,2,1,1,2,1,2,2,2,2,NA,2,NA,2,1,2,2,2,2,2,NA,2,1,1,67,1,2,2,8,2,5,2,1,1
"484",1,1,4,30,1,1,2,1,1,3,2,2,3,2,2,1,1,2,2,1,2,2,1,2,3,1,NA,3,NA,3,1,2,43,3,1,1,6,2,4,2,1,1
"486",1,1,4,6,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,2,NA,NA,NA,2,NA,2,NA,2,NA,2,1,1,65,5,3,2,4,1,2,2,1,1
"491",1,1,3,51,1,1,4,1,1,2,1,2,1,2,1,1,2,1,1,2,1,1,2,2,3,1,NA,NA,NA,3,2,1,50,6,3,2,4,2,3,2,1,0
"492",1,1,2,39,2,1,3,1,1,1,1,2,1,2,1,2,2,2,2,1,1,2,1,2,2,1,2,3,2,2,1,1,50,1,2,2,5,1,1,2,1,1
"494",1,1,3,37,1,1,3,1,1,2,1,NA,NA,NA,1,1,2,1,NA,2,2,1,1,2,2,1,NA,NA,NA,3,1,1,37,6,3,2,4,1,1,2,1,0
"499",1,1,2,17,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,NA,1,3,NA,NA,NA,1,1,19,6,3,2,3,3,3,2,1,0
"500",1,1,2,17,1,2,3,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,NA,1,NA,NA,NA,1,1,2,50,6,2,2,6,3,4,2,1,1
"505",1,1,3,1,2,2,4,1,1,1,1,2,1,1,2,2,2,2,2,NA,2,2,1,1,1,3,3,2,NA,3,1,NA,44,1,2,1,8,2,NA,2,2,0
"507",1,1,3,24,1,3,4,1,2,3,1,2,3,1,1,2,2,1,1,1,1,1,2,2,3,NA,NA,NA,3,NA,2,1,35,6,3,2,3,1,1,2,1,1
"511",1,1,4,8,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,2,2,2,NA,1,2,1,3,1,2,47,1,2,2,8,2,3,2,1,1
"515",1,1,3,51,2,1,3,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,2,2,2,2,NA,2,1,2,47,1,2,1,4,3,3,2,1,1
"516",1,1,3,12,2,2,4,2,2,NA,NA,3,NA,2,NA,2,2,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,90,5,1,2,4,NA,NA,2,1,0
"517",1,1,4,8,1,2,2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,3,3,3,2,1,1,56,1,2,2,3,3,3,2,1,1
"519",1,1,3,21,2,1,3,2,2,3,3,3,3,3,1,2,2,2,2,1,1,2,1,2,3,1,3,3,3,3,2,2,49,1,2,2,3,3,2,2,2,1
"522",1,1,3,40,1,1,2,2,2,3,3,3,3,3,1,2,2,1,1,2,2,1,2,2,NA,2,NA,2,NA,2,1,1,65,1,1,2,3,NA,NA,2,1,1
"526",1,1,1,23,2,2,2,1,2,3,1,2,3,3,1,1,1,2,2,2,1,1,1,2,NA,2,NA,2,NA,3,1,1,67,1,5,2,3,1,2,2,1,1
"529",1,2,4,6,2,2,3,1,1,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,1,1,NA,3,NA,2,2,1,31,1,4,1,1,NA,3,1,1,0
"533",1,1,3,1,2,1,2,1,1,2,1,2,2,2,1,1,1,1,NA,2,2,NA,NA,1,2,2,2,2,NA,3,1,1,53,1,2,2,8,1,2,2,1,1
"534",1,1,1,34,1,2,3,1,1,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,2,2,NA,1,NA,2,2,1,30,1,4,2,6,2,3,2,3,1
"535",1,1,3,51,2,2,2,1,1,3,3,2,3,2,1,NA,1,NA,2,2,2,NA,1,1,2,1,2,2,NA,2,1,1,58,1,3,2,8,1,2,2,1,1
"537",1,1,4,30,2,2,3,1,2,3,3,2,2,2,1,1,2,1,1,2,1,1,1,2,2,2,NA,2,NA,3,2,1,62,1,2,2,4,2,3,2,1,1
"539",1,1,3,5,2,1,2,1,1,3,3,3,2,3,1,1,1,1,1,2,2,1,2,1,2,1,NA,2,NA,3,1,2,58,1,2,2,4,3,3,2,1,1
"548",1,1,2,26,2,2,3,1,1,3,2,1,2,2,1,2,2,1,1,2,2,1,1,1,2,2,NA,2,NA,3,1,1,56,1,2,2,3,3,3,2,1,1
"549",1,1,1,36,2,2,4,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,55,1,2,2,8,3,NA,2,1,0
"550",1,1,1,25,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,NA,2,NA,NA,NA,NA,1,2,62,1,2,2,8,2,3,2,1,1
"553",1,1,1,34,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,NA,1,2,52,1,2,1,6,2,3,2,1,1
"554",1,1,1,36,2,3,3,1,1,3,3,1,2,1,1,2,2,1,1,2,2,2,NA,1,2,2,1,2,NA,2,1,2,24,6,3,2,4,2,3,2,2,1
"557",1,1,3,13,2,2,2,1,1,3,1,1,NA,2,2,2,2,NA,NA,NA,NA,NA,NA,2,2,1,2,NA,NA,3,NA,2,36,1,2,1,3,NA,2,2,1,0
"558",1,1,4,8,1,2,4,1,1,3,3,2,3,3,1,2,2,1,1,1,2,2,1,1,1,2,3,1,3,2,1,2,18,6,2,2,3,2,3,2,1,1
"559",1,1,4,4,2,2,2,1,1,2,2,3,3,3,1,1,1,NA,1,2,NA,1,1,2,NA,NA,1,3,NA,3,1,1,55,1,2,1,6,NA,3,2,1,0
"560",1,1,1,34,2,1,2,1,1,2,3,2,2,2,1,2,1,2,1,2,2,1,1,2,3,2,2,NA,NA,2,1,1,56,1,2,2,3,3,2,2,1,0
"561",1,1,2,29,2,1,4,1,1,3,3,3,3,3,1,2,2,1,2,2,2,2,2,1,3,3,3,2,3,3,1,2,47,1,2,1,8,3,3,2,1,1
"562",1,1,1,42,2,1,3,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,3,2,3,3,NA,1,2,63,5,1,2,5,2,4,2,1,0
"564",1,1,1,42,1,1,1,1,1,3,1,2,1,2,1,1,2,2,1,1,1,1,1,2,2,1,NA,NA,2,NA,1,2,66,1,2,2,8,3,3,2,1,1
"565",1,1,2,17,2,1,2,1,2,3,NA,3,3,3,1,NA,1,NA,1,2,2,2,1,2,2,2,2,2,2,3,2,2,63,6,1,2,8,1,2,2,1,1
"566",1,1,4,53,2,2,2,1,2,3,3,3,3,3,1,NA,2,NA,1,2,NA,2,NA,1,2,1,1,2,1,3,2,2,49,1,2,2,6,1,1,2,1,1
"572",1,1,2,39,1,3,3,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,NA,1,1,2,38,1,2,1,3,2,2,2,1,1
"576",1,1,3,12,1,1,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,3,3,3,3,3,2,2,52,1,4,2,6,1,3,2,1,1
"578",1,2,4,6,2,3,3,2,2,1,1,1,1,1,1,2,2,1,1,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,33,1,2,1,1,NA,NA,1,NA,0
"580",1,1,3,12,2,1,2,1,1,3,1,1,NA,1,1,1,1,1,1,2,2,1,1,2,3,2,NA,3,NA,2,1,2,47,1,2,1,6,1,2,2,1,1
"581",1,1,3,12,2,2,2,1,1,1,2,1,2,2,1,1,1,1,1,2,2,1,2,1,2,2,3,NA,NA,2,2,1,61,1,2,2,8,3,3,2,1,1
"582",1,1,1,33,1,1,2,1,2,3,3,3,3,3,1,2,2,1,2,2,1,2,1,1,2,2,2,2,NA,NA,2,2,55,6,2,1,3,3,3,2,1,1
"583",1,1,1,36,1,2,3,1,1,3,3,NA,3,3,1,1,1,1,2,2,2,1,2,1,2,NA,2,2,NA,2,NA,2,55,3,1,2,4,3,4,2,1,1
"586",1,1,1,36,2,2,2,1,1,3,2,2,3,2,1,2,2,1,2,2,2,1,1,1,1,3,2,2,3,3,1,2,45,1,5,2,5,1,3,2,1,1
"588",1,1,3,37,1,1,3,2,2,3,3,1,3,3,2,2,2,NA,NA,NA,2,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,65,1,2,2,3,2,2,2,1,1
"589",1,1,3,51,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1,2,2,1,2,1,2,1,2,2,2,3,1,1,30,1,2,1,5,1,2,2,1,1
"593",1,1,1,34,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,3,2,2,3,2,1,NA,2,47,1,5,2,8,2,4,2,5,1
"594",1,1,2,18,2,3,4,1,1,3,3,3,3,1,1,2,2,1,1,2,2,1,1,1,3,1,3,3,1,2,1,2,66,1,2,2,4,3,4,2,1,1
"595",1,1,3,12,2,3,3,1,1,1,1,1,3,1,1,1,1,1,1,2,2,1,1,2,1,3,NA,1,NA,NA,1,2,43,3,2,2,4,NA,1,2,2,1
"596",1,1,3,21,2,1,2,1,2,3,1,1,1,1,1,2,1,1,1,2,1,1,2,1,NA,3,NA,NA,NA,NA,2,2,71,3,1,2,4,2,3,2,1,1
"598",1,1,1,36,1,1,2,1,2,2,1,NA,1,1,1,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,52,1,2,2,6,2,2,2,1,1
"601",1,1,3,24,2,2,3,1,1,1,1,2,1,1,1,1,2,1,NA,2,NA,2,1,1,2,2,2,2,NA,2,2,2,33,1,2,1,8,3,3,2,1,1
"604",1,1,2,39,2,2,3,1,1,1,1,1,1,2,1,2,2,1,1,2,2,1,2,1,2,3,NA,3,NA,2,2,1,48,1,3,2,5,3,3,2,1,1
"605",1,1,3,12,2,2,3,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,2,1,1,55,1,2,2,8,1,3,2,1,1
"607",1,1,3,24,2,2,2,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,3,1,1,2,1,3,1,2,57,1,2,2,8,2,4,2,1,1
"609",1,1,2,55,1,2,2,1,1,1,1,2,2,2,1,1,2,1,1,2,2,1,2,1,2,3,2,2,2,2,1,2,32,1,2,1,5,2,3,2,2,1
"611",1,1,3,48,1,1,2,1,1,2,1,2,2,1,1,1,1,1,2,2,2,1,2,1,2,2,3,3,3,2,1,2,42,1,2,1,8,3,3,2,1,1
"612",1,1,2,17,2,2,4,2,2,3,2,1,1,3,1,2,2,2,NA,2,NA,1,2,2,2,2,2,3,NA,2,NA,1,76,1,2,2,8,3,4,2,1,0
"613",1,1,3,1,2,2,2,1,1,2,2,2,NA,NA,1,1,1,1,2,2,1,2,1,2,2,2,NA,NA,NA,NA,1,2,48,1,2,1,8,1,2,2,1,1
"614",1,1,2,55,1,1,2,1,2,NA,3,3,3,3,1,1,2,2,1,2,1,2,1,1,3,2,NA,2,1,2,2,1,62,1,1,2,2,3,1,2,1,1
"615",1,1,3,28,2,1,2,1,1,3,3,3,3,3,1,2,2,1,2,2,2,2,1,1,3,2,2,2,3,3,2,2,42,1,2,1,5,1,2,2,1,1
"618",1,1,1,36,1,1,4,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,1,2,3,3,1,2,1,1,2,18,6,3,2,3,1,2,2,1,0
"620",1,1,2,18,1,3,4,1,1,3,1,1,NA,1,1,1,1,1,2,2,1,2,1,2,1,1,1,3,NA,2,1,2,45,6,1,2,5,NA,5,2,1,0
"621",1,1,3,21,2,1,2,1,1,2,1,1,1,2,1,2,2,2,2,1,1,2,1,1,2,2,3,3,3,3,1,1,51,3,2,2,3,1,3,2,1,0
"622",1,1,1,36,1,3,3,1,1,2,2,1,2,2,1,2,2,1,1,2,1,1,2,2,NA,NA,NA,2,NA,NA,1,1,57,1,2,2,4,NA,2,2,1,1
"624",1,1,1,34,1,2,2,1,1,3,3,2,2,2,1,2,2,2,1,1,1,2,1,2,NA,2,NA,2,2,2,NA,2,48,1,4,1,3,3,2,2,1,1
"625",1,1,2,27,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,1,NA,2,2,1,1,45,1,3,1,8,2,4,2,1,1
"628",1,1,2,27,1,2,3,1,1,3,3,1,1,3,1,1,1,NA,2,2,2,NA,2,1,2,1,2,3,3,2,2,2,60,1,4,2,6,3,2,2,1,1
"634",1,1,2,26,2,3,4,1,1,1,1,1,1,1,1,1,2,2,2,NA,1,2,1,1,NA,NA,NA,NA,1,NA,2,2,42,1,3,2,3,3,NA,2,1,1
"635",1,1,1,42,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,3,NA,2,1,1,44,3,1,NA,5,3,2,2,4,1
"636",1,1,2,39,2,1,NA,2,2,2,2,1,2,2,2,2,2,1,NA,2,NA,1,2,2,2,2,2,3,3,3,NA,1,55,1,2,2,4,1,1,2,1,1
"637",1,1,3,37,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,2,2,1,2,55,1,4,2,6,2,5,2,1,1
"639",1,1,3,5,2,2,3,1,1,3,3,3,3,3,1,2,2,2,2,1,2,2,1,1,2,2,2,3,2,2,2,2,46,1,4,2,5,1,2,2,1,1
"641",1,1,3,13,2,2,2,1,1,1,3,1,1,2,1,2,2,1,1,2,1,2,1,1,2,1,2,2,1,2,1,1,50,1,3,2,5,3,3,2,1,1
"645",1,1,2,55,1,1,2,1,2,3,1,1,2,2,1,2,2,NA,NA,NA,NA,NA,NA,1,2,2,NA,2,3,3,2,2,61,1,2,2,3,3,3,2,1,1
"646",1,1,4,30,2,2,NA,1,1,1,1,1,1,1,2,2,2,1,1,2,2,NA,1,2,2,2,1,2,1,NA,1,2,57,NA,1,2,6,3,5,2,1,1
